Iteration,CPU,Memory
1,78.26,3.394
2,78.26,3.394
3,78.26,3.394
4,78.26,3.394
5,78.26,3.394
6,78.26,3.394
7,78.26,3.394
8,78.26,3.394
9,78.26,3.394
10,78.26,3.394
11,78.26,3.394
12,78.26,3.394
13,78.26,3.394
14,78.26,3.394
15,78.26,3.394
16,78.26,3.394
17,78.26,3.394
18,78.26,3.394
19,78.26,3.394
20,78.27,3.394
21,78.27,3.394
22,78.27,3.394
23,78.28,3.394
24,78.29,3.394
25,78.31,3.394
26,78.34,3.394
27,78.38,3.394
28,78.46,3.394
29,78.57,3.394
30,78.76,3.394
31,79.07,3.394
32,79.57,3.394
33,80.38,3.394
34,81.69,3.394
35,83.81,3.394
36,87.24,3.394
37,92.79,3.394
38,101.77,3.394
39,116.3,3.394
40,139.81,3.394
