Iteration,CPU,Memory
1,13.66,14.388
2,13.66,14.388
3,13.66,14.388
4,13.66,14.388
5,13.66,14.388
6,13.66,14.388
7,13.67,14.388
8,13.67,14.388
9,13.67,14.388
10,13.67,14.388
11,13.67,14.388
12,13.67,14.388
13,13.67,14.388
14,13.67,14.388
15,13.67,14.388
16,13.67,14.388
17,13.67,14.388
18,13.67,14.388
19,13.67,14.388
20,13.67,14.388
21,13.67,14.388
22,13.68,14.388
23,13.69,14.388
24,13.7,14.388
25,13.71,14.388
26,13.74,14.388
27,13.79,14.388
28,13.86,14.388
29,13.98,14.388
30,14.16,14.388
31,14.47,14.388
32,14.97,14.388
33,15.78,14.388
34,17.07,14.388
35,19.13,14.388
36,22.5,14.389
37,27.86,14.389
38,36.57,14.389
39,50.63,14.389
40,73.36,14.389
