Iteration,CPU,Memory
1,78.52,7.202
2,78.52,7.202
3,78.52,7.202
4,78.52,7.202
5,78.52,7.202
6,78.52,7.202
7,78.52,7.202
8,78.52,7.202
9,78.52,7.202
10,78.52,7.202
11,78.52,7.202
12,78.52,7.202
13,78.52,7.202
14,78.52,7.202
15,78.52,7.202
16,78.52,7.202
17,78.52,7.202
18,78.52,7.202
19,78.52,7.202
20,78.52,7.202
21,78.52,7.202
22,78.53,7.202
23,78.54,7.202
24,78.54,7.202
25,78.56,7.202
26,78.59,7.202
27,78.64,7.202
28,78.71,7.202
29,78.83,7.202
30,79.02,7.202
31,79.33,7.202
32,79.83,7.202
33,80.64,7.202
34,81.95,7.202
35,84.06,7.202
36,87.49,7.202
37,93.04,7.202
38,102.0,7.202
39,116.52,7.202
40,140.0,7.202
