Iteration,CPU,Memory
1,121.44,14.959
2,121.44,14.959
3,121.44,14.959
4,121.44,14.959
5,121.44,14.959
6,121.44,14.959
7,121.44,14.959
8,121.44,14.959
9,121.44,14.959
10,121.44,14.959
11,121.44,14.959
12,121.44,14.959
13,121.44,14.959
14,121.44,14.959
15,121.44,14.959
16,121.44,14.959
17,121.44,14.959
18,121.44,14.959
19,121.44,14.959
20,121.45,14.959
21,121.45,14.959
22,121.45,14.959
23,121.46,14.959
24,121.47,14.959
25,121.49,14.959
26,121.52,14.959
27,121.56,14.959
28,121.64,14.959
29,121.75,14.959
30,121.94,14.959
31,122.26,14.959
32,122.76,14.959
33,123.56,14.959
34,124.88,14.959
35,127.0,14.959
36,130.43,14.959
37,135.98,14.959
38,144.96,14.959
39,159.49,14.959
40,183.02,14.959
