Iteration,CPU,Memory
1,66.19,7.293
2,66.19,7.293
3,66.19,7.293
4,66.19,7.293
5,66.19,7.293
6,66.19,7.293
7,66.19,7.293
8,66.19,7.293
9,66.19,7.293
10,66.19,7.293
11,66.19,7.293
12,66.19,7.293
13,66.19,7.293
14,66.19,7.293
15,66.19,7.293
16,66.19,7.293
17,66.19,7.293
18,66.19,7.293
19,66.2,7.293
20,66.2,7.293
21,66.2,7.293
22,66.21,7.293
23,66.21,7.293
24,66.22,7.293
25,66.24,7.293
26,66.27,7.293
27,66.31,7.293
28,66.39,7.293
29,66.51,7.293
30,66.7,7.293
31,67.01,7.293
32,67.51,7.293
33,68.32,7.293
34,69.63,7.293
35,71.76,7.293
36,75.19,7.293
37,80.75,7.293
38,89.75,7.293
39,104.29,7.293
40,127.81,7.293
