Iteration,CPU,Memory
1,66.12,3.419
2,66.12,3.419
3,66.12,3.419
4,66.12,3.419
5,66.12,3.419
6,66.12,3.419
7,66.12,3.419
8,66.12,3.419
9,66.12,3.419
10,66.12,3.419
11,66.12,3.419
12,66.12,3.419
13,66.12,3.419
14,66.12,3.419
15,66.12,3.419
16,66.12,3.419
17,66.12,3.419
18,66.12,3.419
19,66.12,3.419
20,66.12,3.419
21,66.12,3.419
22,66.13,3.419
23,66.14,3.419
24,66.14,3.419
25,66.16,3.419
26,66.19,3.419
27,66.24,3.419
28,66.31,3.419
29,66.43,3.419
30,66.62,3.419
31,66.93,3.419
32,67.43,3.419
33,68.24,3.419
34,69.56,3.419
35,71.68,3.419
36,75.12,3.419
37,80.68,3.419
38,89.68,3.419
39,104.22,3.419
40,127.76,3.419
