Iteration,CPU,Memory
1,330.61,0.582
2,330.61,0.582
3,330.61,0.582
4,330.61,0.582
5,330.61,0.582
6,330.61,0.582
7,330.61,0.582
8,330.61,0.582
9,330.61,0.582
10,330.61,0.582
11,330.61,0.582
12,330.61,0.582
13,330.61,0.582
14,330.61,0.582
15,330.61,0.582
16,330.61,0.582
17,330.61,0.582
18,330.61,0.582
19,330.61,0.582
20,330.61,0.582
21,330.61,0.582
22,330.62,0.582
23,330.62,0.582
24,330.64,0.582
25,330.65,0.582
26,330.68,0.582
27,330.72,0.582
28,330.8,0.582
29,330.92,0.582
30,331.11,0.582
31,331.42,0.582
32,331.92,0.583
33,332.73,0.583
34,334.04,0.583
35,336.16,0.583
36,339.59,0.583
37,345.14,0.583
38,354.11,0.583
39,368.64,0.583
40,392.18,0.583
