Iteration,CPU,Memory
1,128.1,1.497
2,128.1,1.497
3,128.1,1.497
4,128.1,1.497
5,128.1,1.497
6,128.1,1.497
7,128.1,1.497
8,128.1,1.497
9,128.1,1.497
10,128.1,1.497
11,128.1,1.497
12,128.1,1.497
13,128.11,1.497
14,128.11,1.497
15,128.11,1.497
16,128.11,1.497
17,128.11,1.497
18,128.11,1.497
19,128.11,1.497
20,128.12,1.497
21,128.12,1.497
22,128.12,1.497
23,128.13,1.497
24,128.14,1.497
25,128.16,1.497
26,128.18,1.497
27,128.23,1.497
28,128.3,1.497
29,128.42,1.497
30,128.62,1.497
31,128.93,1.497
32,129.44,1.497
33,130.25,1.497
34,131.57,1.497
35,133.7,1.497
36,137.14,1.497
37,142.72,1.497
38,151.73,1.497
39,166.3,1.497
40,189.92,1.498
